Record Number	001	Location
b63465498	sse0000317814	multi;eb;er;noh
b63465504	sse0000159522	multi;eb;er;noh
b63465553	sse0000159729	multi;eb;er;noh
b63465565	sse0000317843	multi;eb;er;noh
b63465577	sse0000159836	multi;eb;er;noh
b63465620	sse0000159940	multi;eb;er;noh
b63465656	sse0000160020	multi;eb;er;noh
b63465711	sse0000160821	multi;eb;er;noh
b63465735	sse0000160834	multi;eb;er;noh
b63465759	sse0000161382	multi;eb;er;noh
b63465760	sse0000317909	multi;eb;er;noh
b63465802	sse0000297353	multi;eb;er;noh
b63465826	sse0000161767	multi;eb;er;noh
b63465838	sse0000162258	multi;eb;er;noh
b6346584x	sse0000162264	multi;eb;er;noh
b63465851	sse0000317952	multi;eb;er;noh
b63465875	sse0000163066	multi;eb;er;noh
b63465899	sse0000163117	multi;eb;er;noh
b63465917	sse0000163120	multi;eb;er;noh
b63465929	sse0000163143	multi;eb;er;noh
b63465991	sse0000166089	multi;eb;er;noh
b63466004	sse0000166284	multi;eb;er;noh
b63466107	sse0000167173	multi;eb;er;noh
b63466144	sse0000318034	multi;eb;er;noh
b63466156	sse0000167207	multi;eb;er;noh
b6346617x	sse0000298142	multi;eb;er;noh
b63466181	sse0000315542	multi;eb;er;noh
b63466235	sse0000167341	multi;eb;er;noh
b63466259	sse0000315543	multi;eb;er;noh
b63466260	sse0000167427	multi;eb;er;noh
b63466284	sse0000167520	multi;eb;er;noh
b63466302	sse0000167845	multi;eb;er;noh
b63466338	sse0000168042	multi;eb;er;noh
b63466387	sse0000168254	multi;eb;er;noh
b63466466	sse0000169527	multi;eb;er;noh
b6346648x	sse0000169575	multi;eb;er;noh
b63466508	sse0000169595	multi;eb;er;noh
b63466545	sse0000298508	multi;eb;er;noh
b63466569	sse0000315547	multi;eb;er;noh
b63466582	sse0000170354	multi;eb;er;noh
b63466612	sse0000315548	multi;eb;er;noh
b63466673	sse0000171083	multi;eb;er;noh
b63466685	sse0000171084	multi;eb;er;noh
b63466703	sse0000171352	multi;eb;er;noh
b63466764	sse0000172457	multi;eb;er;noh
b63466776	sse0000318126	multi;eb;er;noh
b63466867	sse0000173057	multi;eb;er;noh
b63466946	sse0000174947	multi;eb;er;noh
b6346696x	sse0000175604	multi;eb;er;noh
b63467069	sse0000176498	multi;eb;er;noh
b63467100	sse0000299336	multi;eb;er;noh
b63467112	sse0000176618	multi;eb;er;noh
b6346715x	sse0000318205	multi;eb;er;noh
b63467161	sse0000176627	multi;eb;er;noh
b63467173	sse0000176629	multi;eb;er;noh
b63467185	sse0000176632	multi;eb;er;noh
b63467203	sse0000176635	multi;eb;er;noh
b63467215	sse0000176637	multi;eb;er;noh
b63467276	sse0000176644	multi;eb;er;noh
b63467343	sse0000318208	multi;eb;er;noh
b63467355	sse0000177026	multi;eb;er;noh
b63467380	sse0000177425	multi;eb;er;noh
b63467410	sse0000178064	multi;eb;er;noh
b63467434	sse0000318232	multi;eb;er;noh
b63467483	sse0000178791	multi;eb;er;noh
b63467495	sse0000178795	multi;eb;er;noh
b63467513	sse0000178874	multi;eb;er;noh
b63467550	sse0000178881	multi;eb;er;noh
b63467562	sse0000178884	multi;eb;er;noh
b63467586	sse0000179077	multi;eb;er;noh
b63467616	sse0000299679	multi;eb;er;noh
b63467628	sse0000315551	multi;eb;er;noh
b63467641	sse0000179584	multi;eb;er;noh
b63467690	sse0000299856	multi;eb;er;noh
b63467707	sse0000299869	multi;eb;er;noh
b63467719	sse0000180341	multi;eb;er;noh
b63467720	sse0000299892	multi;eb;er;noh
b63467744	sse0000318408	multi;eb;er;noh
b63467793	sse0000180701	multi;eb;er;noh
b63467860	sse0000181256	multi;eb;er;noh
b63467872	sse0000181530	multi;eb;er;noh
b63467884	sse0000181823	multi;eb;er;noh
b63467938	sse0000318450	multi;eb;er;noh
b63467951	sse0000182137	multi;eb;er;noh
b63467975	sse0000182231	multi;eb;er;noh
b63468104	sse0000318536	multi;eb;er;noh
b63468141	sse0000315557	multi;eb;er;noh
b63468153	sse0000318561	multi;eb;er;noh
b63468189	sse0000187766	multi;eb;er;noh
b63468207	sse0000188299	multi;eb;er;noh
b63468232	sse0000189237	multi;eb;er;noh
b63468268	sse0000189518	multi;eb;er;noh
b6346827x	sse0000318627	multi;eb;er;noh
b63468281	sse0000189659	multi;eb;er;noh
b63468293	sse0000190159	multi;eb;er;noh
b6346830x	sse0000315559	multi;eb;er;noh
b63468311	sse0000190498	multi;eb;er;noh
b63468347	sse0000318656	multi;eb;er;noh
b63468384	sse0000192013	multi;eb;er;noh
b63468396	sse0000192304	multi;eb;er;noh
b63468402	sse0000301762	multi;eb;er;noh
b63468414	sse0000192247	multi;eb;er;noh
b63468426	sse0000192385	multi;eb;er;noh
b63468475	sse0000318678	multi;eb;er;noh
b63468499	sse0000318679	multi;eb;er;noh
b63468505	sse0000193383	multi;eb;er;noh
b63468530	sse0000318680	multi;eb;er;noh
b63468566	sse0000193991	multi;eb;er;noh
b6346858x	sse0000315562	multi;eb;er;noh
b63468657	sse0000318750	multi;eb;er;noh
b63468670	sse0000302142	multi;eb;er;noh
b63468694	sse0000196244	multi;eb;er;noh
b63468712	sse0000196272	multi;eb;er;noh
b63468773	sse0000315564	multi;eb;er;noh
b63468785	sse0000196537	multi;eb;er;noh
b63468827	sse0000318763	multi;eb;er;noh
b63468840	sse0000196588	multi;eb;er;noh
b63468888	sse0000315566	multi;eb;er;noh
b63468906	sse0000315567	multi;eb;er;noh
b63468979	sse0000197450	multi;eb;er;noh
b63468992	sse0000197463	multi;eb;er;noh
b63469005	sse0000197469	multi;eb;er;noh
b6346908x	sse0000318790	multi;eb;er;noh
b63469108	sse0000318794	multi;eb;er;noh
b63469145	sse0000318859	multi;eb;er;noh
b63469182	sse0000200438	multi;eb;er;noh
b63469212	sse0000200480	multi;eb;er;noh
b63469297	sse0000200610	multi;eb;er;noh
b63469376	sse0000201578	multi;eb;er;noh
b63469388	sse0000201976	multi;eb;er;noh
b63469431	sse0000318939	multi;eb;er;noh
b63469467	sse0000303316	multi;eb;er;noh
b63469480	sse0000315573	multi;eb;er;noh
b63469492	sse0000318949	multi;eb;er;noh
b63469510	sse0000315574	multi;eb;er;noh
b63469546	sse0000315575	multi;eb;er;noh
b63469558	sse0000315576	multi;eb;er;noh
b63469571	sse0000303354	multi;eb;er;noh
b63469595	sse0000319023	multi;eb;er;noh
b63469637	sse0000315580	multi;eb;er;noh
b63469698	sse0000205217	multi;eb;er;noh
b63469704	sse0000303589	multi;eb;er;noh
b63469790	sse0000206188	multi;eb;er;noh
b63469820	sse0000315582	multi;eb;er;noh
b63469935	sse0000206735	multi;eb;er;noh
b63469947	sse0000206825	multi;eb;er;noh
b63469984	sse0000206985	multi;eb;er;noh
b63469996	sse0000206986	multi;eb;er;noh
b63470007	sse0000207472	multi;eb;er;noh
b63470032	sse0000207504	multi;eb;er;noh
b6347007x	sse0000315588	multi;eb;er;noh
b63470147	sse0000304128	multi;eb;er;noh
b63470160	sse0000209312	multi;eb;er;noh
b63470184	sse0000304158	multi;eb;er;noh
b63470196	sse0000319148	multi;eb;er;noh
b63470226	sse0000319149	multi;eb;er;noh
b6347024x	sse0000209723	multi;eb;er;noh
b63470263	sse0000209747	multi;eb;er;noh
b63470305	sse0000209786	multi;eb;er;noh
b63470317	sse0000209788	multi;eb;er;noh
